#version 3.1.022820
Isoform,RefSeq,EntrezID,Hugo_Symbol,Chromosome,Start,End,Strand,Num_Exons,Oncogene,TSG
ENST00000321945,NM_139076,84142,ABRAXAS1,chr4,83459517,83523348,-,9,No,Yes
ENST00000264657,NM_139276,6774,STAT3,chr17,42313324,42388568,-,24,Yes,No
ENST00000536441,NM_144665,143686,SESN3,chr11,95165513,95232541,-,10,No,Yes
ENST00000285071,NM_144997,201163,FLCN,chr17,17212212,17237188,-,14,No,Yes
ENST00000576892,NM_152274,92002,FAM58A,chrX,153587925,153600045,-,7,No,Yes
ENST00000576892,NM_152274,92002,CCNQ,chrX,153587925,153600045,-,7,No,Yes
ENST00000374869,NM_152424,139285,AMER1,chrX,64185117,64205708,-,2,No,Yes
ENST00000299084,NM_152594,161742,SPRED1,chr15,38252836,38357249,+,7,No,Yes
ENST00000334344,NM_152641,196528,ARID2,chr12,45729706,45908040,+,21,No,Yes
ENST00000357387,NM_152756,253260,RICTOR,chr5,38937920,39074399,-,38,Yes,No
ENST00000368682,NM_153047,2534,FYN,chr6,111660332,111873452,-,14,Yes,No
ENST00000262189,NM_170606,58508,KMT2C,chr7,152134922,152436005,-,59,No,Yes
ENST00000339824,NM_173598,283455,KSR2,chr12,117453012,117968990,-,20,Yes,No
ENST00000357731,NM_173808,257194,NEGR1,chr1,71395943,72282539,-,7,No,No
ENST00000356692,NM_174907,151987,PPP4R2,chr3,72996803,73069198,+,9,No,No
ENST00000614490,NM_175741,256646,NUTM1,chr15,34343315,34357737,+,8,No,No
ENST00000353224,NM_177990,57144,PAK5,chr20,9537389,9839041,-,10,Yes,No
ENST00000381297,NM_178129,286530,P2RY8,chrX,1462581,1537185,-,2,No,Yes
ENST00000521381,NM_181523,5295,PIK3R1,chr5,68215756,68301821,+,16,No,Yes
ENST00000292535,NM_181552,1523,CUX1,chr7,101815904,102283958,+,24,No,Yes
ENST00000371998,NM_181659,8202,NCOA3,chr20,47501887,47656877,+,23,Yes,No
ENST00000373271,NM_182811,5335,PLCG1,chr20,41136960,41196801,+,32,Yes,No
ENST00000288319,NM_182918,2078,ERG,chr21,38380027,38661780,-,10,Yes,No
ENST00000261937,NM_182925,2324,FLT4,chr5,180601506,180649624,-,30,Yes,No
ENST00000615299,NM_182962,330,BIRC3,chr11,102317450,102339403,+,10,No,No
ENST00000642352,NM_198159,4286,MITF,chr3,69739435,69968337,+,10,Yes,Yes
ENST00000310581,NM_198253,7015,TERT,chr5,1253147,1295068,-,16,Yes,No
ENST00000373578,NM_198291,6714,SRC,chr20,37344685,37406050,+,14,Yes,No
ENST00000327064,NM_199141,10498,CARM1,chr19,10871513,10923070,+,16,No,No
ENST00000371698,NM_201446,51162,EGFL7,chr9,136658856,136672678,+,9,No,No
ENST00000171111,NM_203500,9817,KEAP1,chr19,10486125,10503558,-,6,No,Yes
ENST00000358598,NM_212471,5573,PRKAR1A,chr17,68511780,68551319,+,11,No,No
ENST00000357485,NM_212481,10865,ARID5A,chr2,96536743,96552634,+,7,No,No
ENST00000292408,NM_213647,2264,FGFR4,chr5,177086905,177098144,+,18,Yes,No
